18	19	22	55	35	17	11	14	29	22
17	16	26	56	34	18	13	11	23	34
15	12	38	57	30	13	19	16	32	36
16	11	32	57	32	19	16	19	38	26
19	17	24	57	37	16	12	13	26	22
15	18	22	59	30	12	11	15	31	30
17	13	34	60	33	11	17	12	24	32
18	11	36	60	36	17	18	21	43	38
18	15	26	61	35	18	13	19	37	34
14	16	22	62	28	13	11	13	25	24
17	19	30	62	33	11	15	13	26	26
15	17	32	63	30	15	16	12	24	22
18	12	38	63	35	16	19	20	39	30
16	13	34	64	32	19	17	11	21	32
15	11	24	65	29	17	12	15	31	38
27	15	26	37	53	12	13	17	35	34
28	16	22	38	55	19	11	19	39	26
25	19	30	39	50	16	15	16	32	38
29	17	32	39	57	12	16	24	48	32
24	13	38	41	47	11	19	23	45	24
27	19	34	41	54	17	17	20	41	22
22	16	26	42	43	18	13	27	53	34
26	12	38	42	51	13	19	25	51	36
27	19	32	43	55	11	16	23	47	22
21	16	24	44	41	15	12	28	56	28
25	12	22	44	49	16	11	21	42	34
23	11	34	45	46	19	17	18	36	26
26	17	36	45	52	17	18	16	31	38
22	18	22	46	43	12	11	15	30	32
24	13	28	47	47	13	14	26	51	24
30	11	34	51	60	11	17	18	36	22
28	15	26	52	56	15	13	23	47	34
32	16	38	52	64	16	19	25	50	36
26	19	32	53	52	19	16	14	28	22
30	17	24	53	59	17	12	13	26	28
28	12	22	54	55	13	11	11	23	30
31	13	34	54	61	19	17	19	37	26
33	11	36	54	65	16	18	10	21	38
25	15	22	55	50	12	11	12	25	22
29	16	28	56	58	11	14	15	30	34
32	19	30	56	63	17	15	13	26	36
27	17	26	57	54	18	13	11	22	26
26	13	38	58	51	17	19	25	51	22
30	19	34	58	60	18	17	21	42	30
28	16	24	59	56	13	12	19	38	32
37	12	36	35	74	15	18	16	33	38
33	19	26	41	67	16	13	14	27	34
34	16	22	37	68	19	11	11	21	24
35	12	30	47	69	17	15	19	37	26
35	11	32	43	70	12	16	10	21	22
36	17	38	41	71	13	19	15	31	30
35	18	34	36	71	11	17	17	33	32
37	13	24	43	73	15	12	21	42	38
37	11	26	38	74	16	13	23	45	34
38	15	22	48	75	19	11	16	32	26
39	16	30	43	77	17	15	14	27	38
39	19	32	38	77	13	16	13	26	22
39	17	38	34	78	19	19	18	36	34
40	12	34	38	80	16	17	21	42	36
41	13	26	42	81	12	13	13	26	2
